product,total_complaints
"Credit reporting, credit repair services, or other personal consumer reports",1714173
Debt collection,473071
Mortgage,373639
Credit card or prepaid card,180982
Checking or savings account,158988
Credit reporting,140429
Credit card,89190
Bank account or service,86205
Student loan,73648
"Money transfer, virtual currency, or money service",52280
